signal_date,ticker,industry,grade,score,vol_ratio,day_chg_pct,gap_pct,close_strength,rsi,close_price,score_breakdown,flags,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15
2026-04-22,3545,半導體業,SURGE_ALPHA,55,2.17,9.98,0.59,1.0,54.4,56.20000076293945,"{'vol_ratio': 10, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 4, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.17x|CLOSE_STRONG:1.00|POCKET_PIVOT|GAP_PARTIAL:0.6%|RS:+9.3%|BREAKOUT_20D:56.20>53.50|RSI_WEAK:54.4|BB_WIDE:0.252,-7.3,-5.69,-9.43,-10.85,-9.07,-10.85,-8.9,-5.69,-5.69,-4.09,,,,,
2026-04-22,4931,電腦及週邊設備業,SURGE_BETA,46,3.81,10.0,0.69,1.0,56.0,159.5,"{'vol_ratio': 7, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 4, 'relative_strength': 8, 'breakout_20d': 0, 'rsi_healthy': 5, 'margin_not_hot': 0, 'bb_squeeze': 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:3.81x|CLOSE_STRONG:1.00|POCKET_PIVOT|GAP_PARTIAL:0.7%|RS:+9.3%|RSI_HEALTHY:56.0|BB_WIDE:0.206,3.76,1.88,4.39,1.57,0.0,-0.31,-3.45,-2.19,4.39,2.82,,,,,
2026-04-22,4966,半導體業,SURGE_BETA,53,4.16,9.87,0.19,1.0,66.2,590.0,"{'vol_ratio': 7, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 0, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 5, 'margin_not_hot': 0, 'bb_squeeze': 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:4.16x|CLOSE_STRONG:1.00|POCKET_PIVOT|RS:+9.1%|BREAKOUT_20D:590.00>568.00|RSI_HEALTHY:66.2|BB_WIDE:0.270,1.69,10.0,4.24,-0.34,-3.73,-2.54,-2.54,-4.75,-2.71,3.22,,,,,
2026-04-22,6104,半導體業,SURGE_ALPHA,60,4.25,9.7,0.84,1.0,71.2,104.0,"{'vol_ratio': 7, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 4, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 8}",SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:4.25x|CLOSE_STRONG:1.00|POCKET_PIVOT|GAP_PARTIAL:0.8%|RS:+9.0%|BREAKOUT_20D:104.00>96.40|RSI_HOT:71.2|BB_SQUEEZE_BREAK:BB:0.085→0.183,-5.77,-4.81,-6.73,-4.62,-5.1,-5.1,-6.54,-5.38,-4.81,-1.92,,,,,
2026-04-22,6207,電子零組件業,SURGE_ALPHA,55,2.25,6.25,0.54,0.65,66.3,59.5,"{'vol_ratio': 10, 'close_strength': 5, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 4, 'relative_strength': 8, 'breakout_20d': 0, 'rsi_healthy': 5, 'margin_not_hot': 0, 'bb_squeeze': 8}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.25x|CLOSE_HEALTHY:0.65|POCKET_PIVOT|GAP_PARTIAL:0.5%|RS:+5.5%|RSI_HEALTHY:66.3|BB_SQUEEZE_BREAK:BB:0.145→0.220,-5.04,-2.86,-5.88,-0.84,-1.18,8.4,6.55,14.45,15.46,15.97,,,,,
2026-04-22,6234,光電業,SURGE_ALPHA,64,3.92,9.91,2.3,1.0,76.5,38.25,"{'vol_ratio': 7, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 8, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 8}",SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:3.92x|CLOSE_STRONG:1.00|POCKET_PIVOT|GAP_FULL:2.3%|RS:+9.2%|BREAKOUT_20D:38.25>35.55|RSI_HOT:76.5|BB_SQUEEZE_BREAK:BB:0.104→0.382,9.93,14.64,17.65,14.25,25.62,38.04,51.63,62.09,51.63,62.09,,,,,
2026-04-22,6435,半導體業,SURGE_ALPHA,57,2.82,4.99,0.55,0.54,74.8,189.5,"{'vol_ratio': 10, 'close_strength': 2, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 4, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 8}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.82x|CLOSE_SOFT:0.54|POCKET_PIVOT|GAP_PARTIAL:0.6%|RS:+4.3%|BREAKOUT_20D:189.50>183.00|RSI_HOT:74.8|BB_SQUEEZE_BREAK:BB:0.167→0.263,-7.12,-3.69,5.8,1.85,0.26,1.85,3.96,13.46,14.51,17.15,,,,,
2026-04-22,6532,半導體業,SURGE_ALPHA,60,3.79,9.98,6.97,1.0,78.6,102.5,"{'vol_ratio': 7, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 8, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 4}",SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:3.79x|CLOSE_STRONG:1.00|POCKET_PIVOT|GAP_FULL:7.0%|RS:+9.3%|BREAKOUT_20D:102.50>93.20|RSI_HOT:78.6|BB_SQUEEZE_EXPAND:BB:0.169→0.367,-5.66,3.41,-2.93,-7.61,-7.32,-5.95,-2.44,-3.71,-7.51,1.46,,,,,
2026-04-22,6727,電子零組件業,SURGE_ALPHA,55,2.65,7.54,1.04,0.84,71.6,463.5,"{'vol_ratio': 10, 'close_strength': 8, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 4, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.65x|CLOSE_STRONG:0.84|POCKET_PIVOT|GAP_PARTIAL:1.0%|RS:+6.8%|BREAKOUT_20D:463.50>443.50|RSI_HOT:71.6|BB_WIDE:0.620,-9.92,-16.94,-11.76,-15.86,-15.53,-17.58,-20.17,-12.19,-10.03,-1.08,,,,,
2026-04-23,3665,其他電子業,SURGE_BETA,47,2.26,7.83,9.0,0.75,93.1,2755.0,"{'vol_ratio': 10, 'close_strength': 5, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 0, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 0}",SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.26x|CLOSE_HEALTHY:0.75|POCKET_PIVOT|RS:+8.3%|BREAKOUT_20D:2755.00>2600.00|RSI_HOT:93.1|BB_WIDE:0.524,0.36,-4.54,-4.54,0.91,0.54,6.72,4.36,-0.36,0.91,,,,,,
2026-04-23,4931,電腦及週邊設備業,SURGE_BETA,48,8.97,3.76,3.45,0.59,78.4,165.5,"{'vol_ratio': 2, 'close_strength': 2, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 4, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 8}",SURGE_GATE_PASS|SURGE_DAY2|VOL_HYPERCHASE:8.97x|CLOSE_SOFT:0.59|POCKET_PIVOT|GAP_PARTIAL:3.4%|RS:+4.2%|BREAKOUT_20D:165.50>164.50|RSI_HOT:78.4|BB_SQUEEZE_BREAK:BB:0.165→0.256,-1.81,0.6,-2.11,-3.63,-3.93,-6.95,-5.74,0.6,-0.91,,,,,,
2026-04-23,6190,通信網路業,SURGE_BETA,45,3.25,4.56,2.43,0.51,71.2,68.80000305175781,"{'vol_ratio': 7, 'close_strength': 2, 'inst_buy_fresh': 0, 'industry_strength': 0, 'pocket_pivot': 12, 'breakaway_gap': 4, 'relative_strength': 8, 'breakout_20d': 10, 'rsi_healthy': 0, 'margin_not_hot': 0, 'bb_squeeze': 0}",SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:3.25x|CLOSE_SOFT:0.51|POCKET_PIVOT|GAP_PARTIAL:2.4%|RS:+5.0%|BREAKOUT_20D:68.80>66.50|RSI_HOT:71.2|BB_WIDE:0.338,8.28,5.38,4.65,3.05,1.45,4.65,6.98,9.01,8.58,,,,,,
