signal_date,ticker,market,industry,grade,score,vol_ratio,day_chg_pct,gap_pct,close_strength,rsi,close_price,flags,t5_return_pct,t10_return_pct
2026-03-05,4130,TPEx,生技醫療業,SURGE_ALPHA,73,2.84,6.55,0.76,0.67,56.6,34.95000076293945,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.84x|CLOSE_HEALTHY:0.67|IND_HOT:97|POCKET_PIVOT|GAP_PARTIAL:0.8%|RS:+4.0%|BREAKOUT_20D:34.95>33.70|RSI_HEALTHY:56.6|BB_SQUEEZE_EXPAND:BB:0.100→0.139,-2.86,-7.87
2026-03-05,5009,TPEx,鋼鐵工業,SURGE_BETA,40,2.47,0.85,2.7,0.53,61.2,35.45000076293945,SURGE_GATE_PASS|SURGE_DAY2|VOL_IDEAL:2.47x|CLOSE_SOFT:0.53|IND_COLD:32|POCKET_PIVOT|RS:-1.7%|RSI_HEALTHY:61.2|BB_SQUEEZE_BREAK:BB:0.058→0.088,-6.06,-2.68
2026-03-06,1309,TSE,塑膠工業,SURGE_ALPHA,80,4.16,9.84,2.36,1.0,59.8,13.949999809265137,SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:4.16x|CLOSE_STRONG:1.00|IND_HOT:83|POCKET_PIVOT|GAP_FULL:2.4%|RS:+10.1%|BREAKOUT_20D:13.95>13.75|RSI_HEALTHY:59.8|BB_SQUEEZE_BREAK:BB:0.108→0.173,9.68,29.75
2026-03-06,1305,TSE,塑膠工業,SURGE_BETA,52,3.49,9.96,0.41,1.0,56.4,13.25,SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:3.49x|CLOSE_STRONG:1.00|IND_HOT:96|POCKET_PIVOT|RS:+10.2%|RSI_HEALTHY:56.4|BB_WIDE:0.162,3.77,26.79
2026-03-06,1307,TSE,塑膠工業,SURGE_BETA,47,2.84,3.07,-0.15,0.62,61.1,35.25,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.84x|CLOSE_HEALTHY:0.62|IND_COLD:42|POCKET_PIVOT|RS:+3.3%|RSI_HEALTHY:61.1|BB_SQUEEZE_EXPAND:BB:0.083→0.208,-5.39,-2.84
2026-03-06,1304,TSE,塑膠工業,SURGE_ALPHA,55,3.28,9.62,1.26,1.0,59.4,13.100000381469727,SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:3.28x|CLOSE_STRONG:1.00|IND_WARM:67|POCKET_PIVOT|GAP_FULL:1.3%|RS:+9.8%|RSI_HEALTHY:59.4|BB_WIDE:0.188,-1.91,14.89
2026-03-06,1308,TSE,塑膠工業,SURGE_ALPHA,75,5.48,9.89,1.1,1.0,56.1,15.0,SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:5.48x|CLOSE_STRONG:1.00|IND_HOT:88|POCKET_PIVOT|GAP_FULL:1.1%|RS:+10.1%|BREAKOUT_20D:15.00>14.90|RSI_HEALTHY:56.1|BB_SQUEEZE_EXPAND:BB:0.104→0.140,-0.33,10.0
2026-03-06,1314,TSE,塑膠工業,SURGE_ALPHA,62,5.25,9.99,0.37,1.0,57.1,8.920000076293945,SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:5.25x|CLOSE_STRONG:1.00|IND_HOT:100|POCKET_PIVOT|RS:+10.2%|BREAKOUT_20D:8.92>8.64|RSI_HEALTHY:57.1|BB_WIDE:0.127,-2.02,-4.82
2026-03-06,1312,TSE,塑膠工業,SURGE_BETA,45,3.62,9.77,0.78,1.0,51.3,14.050000190734863,SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:3.62x|CLOSE_STRONG:1.00|IND_WARM:75|POCKET_PIVOT|GAP_PARTIAL:0.8%|RS:+10.0%|RSI_WEAK:51.3|BB_WIDE:0.143,-2.85,1.78
2026-03-06,1529,TSE,電機機械,SURGE_ALPHA,66,2.38,9.96,7.72,1.0,55.0,27.049999237060547,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.38x|CLOSE_STRONG:1.00|IND_HOT:100|POCKET_PIVOT|GAP_FULL:7.7%|RS:+10.2%|RSI_HEALTHY:55.0|BB_WIDE:0.200,6.65,-1.85
2026-03-06,1714,TSE,化學工業,SURGE_ALPHA,76,3.37,4.62,1.74,0.73,69.9,10.199999809265137,SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:3.37x|CLOSE_HEALTHY:0.73|IND_HOT:91|POCKET_PIVOT|GAP_FULL:1.7%|RS:+4.8%|BREAKOUT_20D:10.20>10.05|RSI_HEALTHY:69.9|BB_SQUEEZE_BREAK:BB:0.030→0.148,-9.51,-5.1
2026-03-06,1710,TSE,化學工業,SURGE_BETA,52,2.29,7.03,-1.17,0.87,51.2,13.699999809265137,SURGE_GATE_PASS|SURGE_DAY1|VOL_IDEAL:2.29x|CLOSE_STRONG:0.87|IND_HOT:94|POCKET_PIVOT|RS:+7.2%|RSI_WEAK:51.2|BB_WIDE:0.130,2.92,12.04
2026-03-06,1718,TSE,化學工業,SURGE_BETA,46,4.9,7.87,0.43,0.87,54.4,7.539999961853027,SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:4.90x|CLOSE_STRONG:0.87|IND_HOT:97|POCKET_PIVOT|RS:+8.1%|RSI_WEAK:54.4|BB_WIDE:0.087,-0.53,2.25
2026-03-06,1736,TSE,運動休閒,SURGE_BETA,46,3.28,5.56,0.37,0.82,37.5,142.5,SURGE_GATE_PASS|SURGE_DAY1|VOL_EXTREME:3.28x|CLOSE_STRONG:0.82|IND_HOT:100|POCKET_PIVOT|RS:+5.8%|RSI_WEAK:37.5|BB_WIDE:0.173,-9.12,-13.68
2026-03-06,2395,TSE,電腦及週邊設備業,SURGE_ALPHA,66,5.15,9.49,1.9,0.95,74.4,375.0,SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:5.15x|CLOSE_STRONG:0.95|IND_HOT:96|POCKET_PIVOT|GAP_FULL:1.9%|RS:+9.7%|BREAKOUT_20D:375.00>342.50|RSI_HOT:74.4|BB_WIDE:0.298,-8.67,-8.27
2026-03-06,2426,TSE,光電業,SURGE_ALPHA,80,4.73,9.88,3.86,1.0,64.7,22.799999237060547,SURGE_GATE_PASS|SURGE_DAY2|VOL_EXTREME:4.73x|CLOSE_STRONG:1.00|IND_HOT:98|POCKET_PIVOT|GAP_FULL:3.9%|RS:+10.1%|BREAKOUT_20D:22.80>20.75|RSI_HEALTHY:64.7|BB_SQUEEZE_BREAK:BB:0.088→0.200,48.46,53.51
2026-03-06,3048,TSE,電子通路業,SURGE_GAMMA,31,1.59,4.58,-1.11,0.64,46.0,37.650001525878906,SURGE_GATE_PASS|SURGE_DAY1|VOL_MILD:1.59x|CLOSE_HEALTHY:0.64|IND_HOT:100|RS:+4.8%|RSI_WEAK:46.0|BB_WIDE:0.167,0.66,6.77
